invoice_id,branch,city,state,customer_type,gender,product_name,product_line,unit_price,quantity,vat,total,date,time,payment,cogs,gross_margin_pct,gross_income,rating,time_of_day,day_name,month_name,product_category
152-03-4217,"Banjara Hills",Hyderabad,Maharashtra,Basic,Female,"Storage Basket","Home and lifestyle",11.28,9,5.0760,86.3500,"2026-02-26 05:29:57",11:55:00,"Credit card",101.52,4.761904716,4.1100,4.3,Morning,Thursday,February,Bad
152-08-9985,Bandra,Mumbai,Maharashtra,Elite,Male,Sunscreen,"Health and beauty",64.36,17,70.4700,1480.1200,"2026-09-05 16:59:37",12:09:00,"Credit Card",834.11,4.761904716,70.4700,8.6,Afternoon,Saturday,September,Good
152-68-2907,"Hitech City",Hyderabad,Maharashtra,Prime,Male,"Lay's Chips","Food and beverages",52.20,5,11.2800,236.7800,"2026-07-03 09:23:16",13:30:00,"Credit card",225.50,4.761904716,11.2800,9.5,Afternoon,Friday,July,Bad
153-58-4872,Indiranagar,Bangalore,Delhi,Prime,Female,Coca-Cola,"Food and beverages",74.89,4,30.3200,636.3500,"2026-06-12 01:25:27",15:32:00,UPI,420.86,4.761904716,30.3200,4.2,Afternoon,Friday,June,Bad
154-74-7179,"Connaught Place",Delhi,Maharashtra,Elite,Male,"Gym Bag","Sports and travel",54.45,1,6.4600,195.0600,"2026-12-16 14:34:15",19:24:00,Ewallet,99.24,4.761904716,9.3100,7.9,Evening,Wednesday,December,Bad
154-87-7367,Hinjawadi,Pune,Maharashtra,Prime,Male,Bedsheet,"Home and lifestyle",65.26,8,24.4700,514.0200,"2026-03-02 00:01:51",14:04:00,Ewallet,604.37,4.761904716,24.4800,6.3,Afternoon,Monday,March,Good
155-45-3814,Baner,Pune,Telangana,Prime,Female,"Power Bank","Electronic accessories",88.55,12,41.3100,867.5800,"2026-07-07 13:27:02",15:29:00,Cash,1020.10,4.761904716,41.3100,8.5,Afternoon,Tuesday,July,Good
156-20-0370,"Connaught Place",Delhi,Maharashtra,Basic,Female,"Power Bank","Electronic accessories",25.45,1,1.9200,57.9100,"2026-04-07 15:17:10",18:10:00,UPI,29.46,4.761904716,2.7600,7.3,Evening,Tuesday,April,Bad
156-95-3964,Baner,Pune,Telangana,Elite,Female,"Oreo Biscuits","Food and beverages",55.39,5,16.3900,344.1600,"2026-05-24 01:22:52",15:19:00,Cash,311.28,4.761904716,16.3900,8.0,Afternoon,Sunday,May,Bad
157-13-5295,Whitefield,Bangalore,Maharashtra,Basic,Male,"Body Lotion","Health and beauty",51.94,13,48.6100,1470.1400,"2026-02-08 08:40:00",18:24:00,UPI,519.40,4.761904716,69.9900,6.5,Evening,Sunday,February,Good
160-22-2687,Saket,Delhi,Maharashtra,Basic,Female,"Face Wash","Health and beauty",95.95,10,56.9500,1581.7700,"2026-06-27 08:14:09",14:21:00,Ewallet,674.02,4.761904716,75.3400,8.8,Afternoon,Saturday,June,Good
162-48-8011,Powai,Mumbai,Karnataka,Prime,Female,Coca-Cola,"Food and beverages",44.59,7,21.7900,457.9800,"2026-04-05 06:28:58",15:10:00,"Credit Card",258.10,4.761904716,21.8000,8.5,Afternoon,Sunday,April,Bad
162-65-8559,Kharadi,Pune,Maharashtra,Prime,Male,"Nescafe Coffee","Food and beverages",68.98,1,4.0300,121.6400,"2026-07-28 01:03:14",20:13:00,Cash,99.34,4.761904716,5.8100,4.8,Evening,Tuesday,July,Bad
163-56-7055,Whitefield,Bangalore,Karnataka,Elite,Male,"Leather Wallet","Fashion accessories",48.71,1,6.5500,198.5100,"2026-07-05 09:40:54",19:20:00,UPI,70.14,4.761904716,9.4400,4.1,Evening,Sunday,July,Bad
166-19-2553,Whitefield,Bangalore,Karnataka,Basic,Male,"Yoga Mat","Sports and travel",89.06,17,112.4800,3400.9900,"2026-07-01 06:27:52",17:26:00,UPI,1562.03,4.761904716,161.9800,9.9,Evening,Wednesday,July,Good
169-52-4504,Andheri,Mumbai,Maharashtra,Elite,Female,"USB Flash Drive","Electronic accessories",15.69,11,11.6600,245.0000,"2026-11-10 11:41:24",14:13:00,"Credit Card",179.49,4.761904716,11.6600,8.4,Afternoon,Tuesday,November,Bad
172-42-8274,Kharadi,Pune,Telangana,Basic,Female,"Mechanical Keyboard","Electronic accessories",38.27,8,11.8300,357.5200,"2026-11-10 19:56:04",18:18:00,Cash,291.91,4.761904716,17.0400,7.7,Evening,Tuesday,November,Bad
173-50-1108,Koramangala,Bangalore,Maharashtra,Elite,Female,"Cricket Bat","Sports and travel",20.18,12,17.0000,356.7700,"2026-07-30 09:32:49",12:14:00,UPI,235.96,4.761904716,17.0000,5.0,Afternoon,Thursday,July,Bad
173-57-2300,Rohini,Delhi,Karnataka,Basic,Male,"Gym Bag","Sports and travel",72.88,3,14.2500,299.4300,"2026-04-04 01:58:58",12:51:00,UPI,168.74,4.761904716,14.2500,6.1,Afternoon,Saturday,April,Bad
173-82-9529,Gachibowli,Hyderabad,Maharashtra,Basic,Female,"Wrist Watch","Fashion accessories",37.95,14,27.3200,758.8600,"2026-08-25 23:45:13",14:51:00,Cash,546.48,4.761904716,36.1400,9.7,Afternoon,Tuesday,August,Good
174-36-3675,Andheri,Mumbai,Maharashtra,Basic,Male,Coca-Cola,"Food and beverages",99.37,3,20.1500,609.4000,"2026-01-03 01:28:18",17:29:00,"Credit Card",238.49,4.761904716,29.0000,5.2,Evening,Saturday,January,Bad
174-64-0215,Whitefield,Bangalore,Maharashtra,Basic,Male,"Gym Bag","Sports and travel",69.74,13,58.1300,1757.7800,"2026-04-16 06:10:45",17:49:00,UPI,807.32,4.761904716,83.7100,8.9,Evening,Thursday,April,Good
174-75-0888,Kharadi,Pune,Telangana,Basic,Male,"Bluetooth Speaker","Electronic accessories",21.58,12,11.0500,323.1300,"2026-06-04 08:09:41",12:32:00,Cash,272.87,4.761904716,15.3900,6.7,Afternoon,Thursday,June,Bad
175-54-2529,"Banjara Hills",Hyderabad,Telangana,Elite,Male,"Lay's Chips","Food and beverages",22.17,14,16.1800,489.8100,"2026-06-07 03:27:21",17:01:00,"Credit card",249.18,4.761904716,23.3200,9.6,Evening,Sunday,June,Bad
176-64-7711,Indiranagar,Bangalore,Telangana,Basic,Male,"Tropicana Juice","Food and beverages",32.32,3,9.8200,296.5700,"2026-06-03 16:12:39",19:11:00,"Credit card",136.23,4.761904716,14.1200,4.3,Evening,Wednesday,June,Bad
176-78-1170,Baner,Pune,Maharashtra,Prime,Male,"Body Lotion","Health and beauty",33.81,3,4.1000,86.2700,"2026-02-11 12:54:10",15:11:00,Cash,101.43,4.761904716,4.1000,7.3,Afternoon,Wednesday,February,Bad
181-82-6255,"Banjara Hills",Hyderabad,Maharashtra,Prime,Female,"Wall Clock","Home and lifestyle",16.37,18,15.7100,267.7500,"2026-05-08 03:15:22",10:58:00,Cash,314.85,4.761904716,12.7200,7.0,Morning,Friday,May,Bad
181-94-6432,Andheri,Mumbai,Karnataka,Prime,Male,"Wrist Watch","Fashion accessories",69.33,2,12.9700,392.4600,"2026-08-18 17:44:39",19:05:00,Ewallet,199.67,4.761904716,18.6800,9.7,Evening,Tuesday,August,Bad
182-52-7000,Whitefield,Bangalore,Delhi,Elite,Female,"Yoga Mat","Sports and travel",27.04,7,14.2000,429.1900,"2026-10-23 19:49:59",20:26:00,Ewallet,197.13,4.761904716,20.4400,6.9,Evening,Friday,October,Bad
182-69-8360,Whitefield,Bangalore,Karnataka,Prime,Female,"USB Flash Drive","Electronic accessories",23.65,6,9.8200,205.9800,"2026-09-15 01:08:05",13:32:00,UPI,136.22,4.761904716,9.8200,7.8,Afternoon,Tuesday,September,Bad
182-88-2763,Indiranagar,Bangalore,Karnataka,Prime,Male,"Nescafe Coffee","Food and beverages",79.91,5,26.9200,814.2400,"2026-02-14 11:03:49",19:28:00,"Credit card",287.68,4.761904716,38.7700,5.0,Evening,Saturday,February,Bad
183-21-3799,Rohini,Delhi,Maharashtra,Elite,Female,"Bluetooth Speaker","Electronic accessories",77.63,34,173.1900,3636.9600,"2026-12-11 07:59:56",15:14:00,UPI,2664.42,4.761904716,173.1900,8.4,Afternoon,Friday,December,Good
183-56-6882,Gachibowli,Hyderabad,Telangana,Prime,Female,"Oreo Biscuits","Food and beverages",99.42,3,18.5500,315.6100,"2026-11-02 04:24:20",10:42:00,Ewallet,371.08,4.761904716,15.0300,7.5,Morning,Monday,November,Good
186-09-3669,Whitefield,Bangalore,Maharashtra,Elite,Female,"Face Wash","Health and beauty",81.51,1,12.8600,289.8300,"2026-05-29 11:42:56",10:57:00,UPI,178.93,4.761904716,13.7900,9.2,Morning,Friday,May,Bad
186-43-8965,Kharadi,Pune,Maharashtra,Elite,Female,"Table Lamp","Home and lifestyle",47.68,3,5.8200,98.8700,"2026-03-21 14:56:53",10:10:00,Cash,110.40,4.761904716,4.7100,4.1,Morning,Saturday,March,Bad
186-71-5196,"Hitech City",Hyderabad,Delhi,Basic,Female,Coca-Cola,"Food and beverages",79.54,2,11.1800,337.9300,"2026-06-18 10:34:18",16:30:00,Ewallet,223.50,4.761904716,16.0900,6.2,Evening,Thursday,June,Bad
186-79-9562,"Connaught Place",Delhi,Delhi,Basic,Male,"Body Lotion","Health and beauty",71.77,12,59.5100,1249.8100,"2026-10-26 18:19:51",14:06:00,UPI,915.61,4.761904716,59.5100,8.9,Afternoon,Monday,October,Good
187-83-5490,"Connaught Place",Delhi,Maharashtra,Basic,Male,"Bluetooth Speaker","Electronic accessories",20.77,4,7.5900,221.8300,"2026-05-15 13:08:37",13:47:00,Cash,116.73,4.761904716,10.5700,8.1,Afternoon,Friday,May,Bad
188-55-0967,Hinjawadi,Pune,Maharashtra,Basic,Male,Sunscreen,"Health and beauty",66.47,14,38.7600,814.0700,"2026-08-20 12:45:03",15:01:00,"Credit card",957.17,4.761904716,38.7600,5.0,Afternoon,Thursday,August,Good
189-08-9157,Powai,Mumbai,Delhi,Elite,Female,"Wrist Watch","Fashion accessories",31.73,36,74.0000,2959.4900,"2026-10-02 03:58:32",16:17:00,"Credit card",1138.48,4.761904716,140.9200,5.9,Evening,Friday,October,Bad
189-17-4241,Koramangala,Bangalore,Maharashtra,Basic,Female,Handbag,"Fashion accessories",87.67,2,18.1700,504.9000,"2026-07-28 08:46:38",12:17:00,UPI,252.49,4.761904716,24.0200,7.7,Afternoon,Tuesday,July,Bad
189-40-5216,Whitefield,Bangalore,Karnataka,Elite,Male,"Power Bank","Electronic accessories",96.37,5,36.4300,862.7800,"2026-02-10 10:59:26",11:40:00,Cash,505.94,4.761904716,41.0900,7.0,Morning,Tuesday,February,Good
189-52-0236,Bandra,Mumbai,Karnataka,Prime,Male,"Wireless Mouse","Electronic accessories",99.55,25,172.7300,5050.8800,"2026-12-16 09:49:30",12:07:00,"Credit Card",2657.49,4.761904716,240.5300,8.0,Afternoon,Wednesday,December,Good
189-55-2313,Powai,Mumbai,Maharashtra,Prime,Female,"Wrist Watch","Fashion accessories",62.18,13,46.7700,1052.5400,"2026-03-06 15:45:35",10:33:00,Ewallet,719.81,4.761904716,50.1300,6.0,Morning,Friday,March,Good
189-98-2939,Andheri,Mumbai,Maharashtra,Elite,Male,"Baseball Cap","Fashion accessories",78.55,36,183.2000,3847.1200,"2026-10-02 19:00:46",13:22:00,Cash,2818.41,4.761904716,183.2000,7.2,Afternoon,Friday,October,Good
190-14-3147,Koramangala,Bangalore,Maharashtra,Elite,Female,Sunscreen,"Health and beauty",17.97,6,7.4400,298.0600,"2026-09-14 03:24:20",20:43:00,UPI,103.51,4.761904716,14.1700,6.4,Evening,Monday,September,Bad
190-59-3964,Kharadi,Pune,Delhi,Prime,Male,Coca-Cola,"Food and beverages",47.16,7,13.7500,288.7900,"2026-08-07 13:35:28",14:35:00,Cash,339.55,4.761904716,13.7600,6.0,Afternoon,Friday,August,Bad
191-10-6171,Baner,Pune,Delhi,Basic,Female,Handbag,"Fashion accessories",39.62,7,11.2300,311.9500,"2026-01-14 11:35:01",13:18:00,Cash,277.34,4.761904716,14.8600,7.5,Afternoon,Wednesday,January,Bad
191-29-0321,Powai,Mumbai,Maharashtra,Elite,Female,"Wrist Watch","Fashion accessories",19.77,13,14.8700,594.9100,"2026-04-22 01:46:18",18:57:00,"Credit card",228.87,4.761904716,28.3500,5.0,Evening,Wednesday,April,Bad
192-98-7397,Whitefield,Bangalore,Delhi,Basic,Male,"Leather Wallet","Fashion accessories",12.78,1,1.3000,27.1400,"2026-06-16 01:24:41",14:11:00,UPI,17.95,4.761904716,1.3000,9.5,Afternoon,Tuesday,June,Bad
195-06-0432,"Hitech City",Hyderabad,Maharashtra,Prime,Male,"Storage Basket","Home and lifestyle",81.01,5,22.1400,465.0800,"2026-12-04 10:52:23",12:55:00,"Credit card",442.92,4.761904716,22.1400,9.3,Afternoon,Friday,December,Bad
196-01-2849,"Hitech City",Hyderabad,Maharashtra,Prime,Female,Sunglasses,"Fashion accessories",73.38,13,46.9000,1302.7300,"2026-06-27 01:53:07",13:56:00,Cash,721.66,4.761904716,62.0100,9.5,Afternoon,Saturday,June,Good
