invoice_id,branch,city,customer_type,gender,product_name,product_line,unit_price,quantity,vat,total,date,time,payment,cogs,gross_margin_pct,gross_income,rating,time_of_day,day_name,month_name,product_category
114-35-5271,Powai,Mumbai,Prime,Female,Wireless Mouse,Electronic accessories,57.91,8,23.164,486.444,2019-02-07 0:00:00,15:06:00,Cash,463.28,4.761904716,23.164,8.1,Afternoon,Thursday,February,Good
115-38-7388,Hitech City,Hyderabad,Basic,Female,Leather Wallet,Fashion accessories,10.18,8,4.072,85.512,2019-03-30 0:00:00,12:51:00,Credit card,81.44,4.761904716,4.072,9.5,Afternoon,Saturday,March,Bad
115-99-4379,Banjara Hills,Hyderabad,Elite,Female,Sunglasses,Fashion accessories,54.73,7,19.1555,402.2655,2019-03-14 0:00:00,19:02:00,Credit card,383.11,4.761904716,19.1555,8.5,Evening,Thursday,March,Good
118-62-1812,Gachibowli,Hyderabad,Basic,Female,Coffee Mug,Home and lifestyle,78.38,4,15.676,329.196,2019-03-24 0:00:00,17:56:00,Cash,313.52,4.761904716,15.676,7.9,Evening,Sunday,March,Good
120-06-4233,Baner,Pune,Basic,Male,Bluetooth Speaker,Electronic accessories,30.61,6,9.183,192.843,2019-03-12 0:00:00,20:36:00,Cash,183.66,4.761904716,9.183,9.3,Evening,Tuesday,March,Bad
120-54-2248,Whitefield,Bangalore,Elite,Female,Nescafe Coffee,Food and beverages,28.86,5,7.215,151.515,2019-01-22 0:00:00,18:08:00,Credit card,144.3,4.761904716,7.215,8,Evening,Tuesday,January,Bad
122-61-9553,Powai,Mumbai,Basic,Female,Bluetooth Speaker,Electronic accessories,51.32,9,23.094,484.974,2019-03-14 0:00:00,19:33:00,Cash,461.88,4.761904716,23.094,5.6,Evening,Thursday,March,Good
123-19-1176,Hitech City,Hyderabad,Elite,Male,Face Wash,Health and beauty,58.22,8,23.288,489.048,2019-01-27 0:00:00,20:33:00,Ewallet,465.76,4.761904716,23.288,8.4,Evening,Sunday,January,Good
123-35-4896,Baner,Pune,Basic,Female,Travel Backpack,Sports and travel,46.66,9,20.997,440.937,2019-02-17 0:00:00,19:11:00,Ewallet,419.94,4.761904716,20.997,5.3,Evening,Sunday,February,Good
124-31-1458,Indiranagar,Bangalore,Basic,Female,Bluetooth Speaker,Electronic accessories,79.59,3,11.9385,250.7085,2019-01-08 0:00:00,14:30:00,Cash,238.77,4.761904716,11.9385,6.6,Afternoon,Tuesday,January,Bad
125-45-2293,Koramangala,Bangalore,Elite,Female,Wrist Watch,Fashion accessories,99.1,6,29.73,624.33,2019-01-19 0:00:00,13:11:00,Cash,594.6,4.761904716,29.73,4.2,Afternoon,Saturday,January,Good
126-54-1082,Banjara Hills,Hyderabad,Elite,Female,Storage Basket,Home and lifestyle,21.54,9,9.693,203.553,2019-01-07 0:00:00,11:44:00,Credit card,193.86,4.761904716,9.693,8.8,Morning,Monday,January,Bad
127-47-6963,Saket,Delhi,Prime,Male,Shampoo,Health and beauty,51.71,4,10.342,217.182,2019-03-09 0:00:00,13:53:00,Credit card,206.84,4.761904716,10.342,9.8,Afternoon,Saturday,March,Bad
129-29-8530,Baner,Pune,Basic,Male,Cricket Bat,Sports and travel,62.62,5,15.655,328.755,2019-03-10 0:00:00,19:15:00,Ewallet,313.1,4.761904716,15.655,7,Evening,Sunday,March,Good
130-67-4723,Whitefield,Bangalore,Basic,Male,Tropicana Juice,Food and beverages,48.5,6,14.55,305.55,2019-01-11 0:00:00,13:57:00,Ewallet,291,4.761904716,14.55,9.4,Afternoon,Friday,January,Bad
130-98-8941,Gachibowli,Hyderabad,Elite,Male,Wrist Watch,Fashion accessories,64.26,7,22.491,472.311,2019-02-09 0:00:00,10:00:00,Cash,449.82,4.761904716,22.491,5.7,Morning,Saturday,February,Good
131-15-8856,Hitech City,Hyderabad,Prime,Female,Tropicana Juice,Food and beverages,72.52,8,29.008,609.168,2019-03-30 0:00:00,19:26:00,Credit card,580.16,4.761904716,29.008,4,Evening,Saturday,March,Good
131-70-8179,Gachibowli,Hyderabad,Elite,Female,Lip Balm,Health and beauty,92.09,3,13.8135,290.0835,2019-02-17 0:00:00,16:27:00,Cash,276.27,4.761904716,13.8135,4.2,Evening,Sunday,February,Bad
132-23-6451,Saket,Delhi,Basic,Male,Shampoo,Health and beauty,20.97,5,5.2425,110.0925,2019-01-04 0:00:00,13:21:00,Cash,104.85,4.761904716,5.2425,7.8,Afternoon,Friday,January,Bad
132-32-9879,Hinjawadi,Pune,Elite,Female,Bluetooth Speaker,Electronic accessories,93.96,4,18.792,394.632,2019-03-09 0:00:00,18:00:00,Cash,375.84,4.761904716,18.792,9.5,Evening,Saturday,March,Good
133-14-7229,Indiranagar,Bangalore,Elite,Male,Sunscreen,Health and beauty,62.87,2,6.287,132.027,2019-01-01 0:00:00,11:43:00,Cash,125.74,4.761904716,6.287,5,Morning,Tuesday,January,Bad
133-77-3154,Bandra,Mumbai,Elite,Male,Baseball Cap,Fashion accessories,60.18,4,12.036,252.756,2019-02-16 0:00:00,18:04:00,Credit card,240.72,4.761904716,12.036,9.4,Evening,Saturday,February,Bad
134-54-4720,Baner,Pune,Basic,Female,Wireless Mouse,Electronic accessories,42.42,8,16.968,356.328,2019-01-30 0:00:00,13:58:00,Ewallet,339.36,4.761904716,16.968,5.7,Afternoon,Wednesday,January,Good
134-75-2619,Powai,Mumbai,Elite,Male,Power Bank,Electronic accessories,19.32,7,6.762,142.002,2019-03-25 0:00:00,18:51:00,Cash,135.24,4.761904716,6.762,6.9,Evening,Monday,March,Bad
135-13-8269,Hitech City,Hyderabad,Prime,Female,Lay's Chips,Food and beverages,78.88,2,7.888,165.648,2019-01-26 0:00:00,16:04:00,Cash,157.76,4.761904716,7.888,9.1,Evening,Saturday,January,Bad
135-84-8019,Connaught Place,Delhi,Elite,Female,Wrist Watch,Fashion accessories,77.93,9,35.0685,736.4385,2019-02-27 0:00:00,16:10:00,Ewallet,701.37,4.761904716,35.0685,7.6,Evening,Wednesday,February,Good
136-08-6195,Saket,Delhi,Prime,Female,Wall Clock,Home and lifestyle,69.96,8,27.984,587.664,2019-02-15 0:00:00,17:01:00,Credit card,559.68,4.761904716,27.984,6.4,Evening,Friday,February,Good
137-63-5492,Banjara Hills,Hyderabad,Elite,Male,Bluetooth Speaker,Electronic accessories,58.76,10,29.38,616.98,2019-01-29 0:00:00,14:26:00,Ewallet,587.6,4.761904716,29.38,9,Afternoon,Tuesday,January,Good
137-74-8729,Hitech City,Hyderabad,Basic,Female,Baseball Cap,Fashion accessories,12.19,8,4.876,102.396,2019-03-13 0:00:00,12:47:00,Ewallet,97.52,4.761904716,4.876,6.8,Afternoon,Wednesday,March,Bad
138-17-5109,Indiranagar,Bangalore,Elite,Female,Coffee Mug,Home and lifestyle,89.21,9,40.1445,843.0345,2019-01-15 0:00:00,15:42:00,Credit card,802.89,4.761904716,40.1445,6.5,Afternoon,Tuesday,January,Good
139-20-0155,Andheri,Mumbai,Prime,Male,Mechanical Keyboard,Electronic accessories,40.3,10,20.15,423.15,2019-01-24 0:00:00,17:37:00,Credit card,403,4.761904716,20.15,7,Evening,Thursday,January,Good
139-32-4183,Indiranagar,Bangalore,Basic,Female,Gym Bag,Sports and travel,97.48,9,43.866,921.186,2019-03-14 0:00:00,14:19:00,Ewallet,877.32,4.761904716,43.866,7.4,Afternoon,Thursday,March,Good
139-52-2867,Hinjawadi,Pune,Prime,Female,Sunglasses,Fashion accessories,22.51,7,7.8785,165.4485,2019-02-13 0:00:00,10:50:00,Credit card,157.57,4.761904716,7.8785,4.8,Morning,Wednesday,February,Bad
142-63-6033,Rohini,Delhi,Prime,Male,Table Lamp,Home and lifestyle,92.36,5,23.09,484.89,2019-03-20 0:00:00,19:17:00,Ewallet,461.8,4.761904716,23.09,4.9,Evening,Wednesday,March,Good
142-72-4741,Banjara Hills,Hyderabad,Prime,Male,Wrist Watch,Fashion accessories,93.2,2,9.32,195.72,2019-02-28 0:00:00,18:37:00,Credit card,186.4,4.761904716,9.32,6,Evening,Thursday,February,Bad
144-51-6085,Andheri,Mumbai,Elite,Male,Wall Clock,Home and lifestyle,70.74,4,14.148,297.108,2019-01-05 0:00:00,16:05:00,Credit card,282.96,4.761904716,14.148,4.4,Evening,Saturday,January,Bad
145-94-9061,Hitech City,Hyderabad,Elite,Female,Oreo Biscuits,Food and beverages,88.36,5,22.09,463.89,2019-01-25 0:00:00,19:48:00,Cash,441.8,4.761904716,22.09,9.6,Evening,Friday,January,Good
146-09-5432,Saket,Delhi,Basic,Male,Nescafe Coffee,Food and beverages,35.04,9,15.768,331.128,2019-02-09 0:00:00,19:17:00,Ewallet,315.36,4.761904716,15.768,4.6,Evening,Saturday,February,Good
148-41-7930,Whitefield,Bangalore,Basic,Male,Shampoo,Health and beauty,99.96,7,34.986,734.706,2019-01-23 0:00:00,10:33:00,Cash,699.72,4.761904716,34.986,6.1,Morning,Wednesday,January,Good
148-82-2527,Indiranagar,Bangalore,Elite,Female,Coffee Mug,Home and lifestyle,12.12,10,6.06,127.26,2019-03-05 0:00:00,13:44:00,Credit card,121.2,4.761904716,6.06,8.4,Afternoon,Tuesday,March,Bad
149-14-0304,Powai,Mumbai,Elite,Female,Shampoo,Health and beauty,28.5,8,11.4,239.4,2019-02-06 0:00:00,14:24:00,Cash,228,4.761904716,11.4,6.6,Afternoon,Wednesday,February,Bad
149-15-7606,Baner,Pune,Elite,Male,Travel Backpack,Sports and travel,37.32,9,16.794,352.674,2019-03-06 0:00:00,15:31:00,Ewallet,335.88,4.761904716,16.794,5.1,Afternoon,Wednesday,March,Good
149-61-1929,Kharadi,Pune,Elite,Male,Cricket Bat,Sports and travel,64.19,10,32.095,673.995,2019-01-19 0:00:00,14:08:00,Credit card,641.9,4.761904716,32.095,6.7,Afternoon,Saturday,January,Good
149-71-6266,Gachibowli,Hyderabad,Prime,Male,Gym Bag,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28 0:00:00,12:43:00,Cash,702.63,4.761904716,35.1315,4.5,Afternoon,Monday,January,Good
150-89-8043,Rohini,Delhi,Basic,Male,Yoga Mat,Sports and travel,44.65,3,6.6975,140.6475,2019-02-14 0:00:00,15:04:00,Cash,133.95,4.761904716,6.6975,6.2,Afternoon,Thursday,February,Bad
151-16-1484,Saket,Delhi,Basic,Male,Mechanical Keyboard,Electronic accessories,32.25,4,6.45,135.45,2019-02-13 0:00:00,12:38:00,Ewallet,129,4.761904716,6.45,6.5,Afternoon,Wednesday,February,Bad
151-27-8496,Bandra,Mumbai,Elite,Female,Wireless Mouse,Electronic accessories,56.13,4,11.226,235.746,2019-01-19 0:00:00,11:43:00,Ewallet,224.52,4.761904716,11.226,8.6,Morning,Saturday,January,Bad
151-33-7434,Gachibowli,Hyderabad,Prime,Female,Nescafe Coffee,Food and beverages,67.77,1,3.3885,71.1585,2019-02-04 0:00:00,20:43:00,Credit card,67.77,4.761904716,3.3885,6.5,Evening,Monday,February,Bad
152-03-4217,Andheri,Mumbai,Basic,Female,Bedsheet,Home and lifestyle,11.28,9,5.076,106.596,2019-03-17 0:00:00,11:55:00,Credit card,101.52,4.761904716,5.076,4.3,Morning,Sunday,March,Bad
152-08-9985,Kharadi,Pune,Elite,Male,Shampoo,Health and beauty,64.36,9,28.962,608.202,2019-03-12 0:00:00,12:09:00,Credit card,579.24,4.761904716,28.962,8.6,Afternoon,Tuesday,March,Good
152-68-2907,Saket,Delhi,Prime,Male,Lay's Chips,Food and beverages,52.2,3,7.83,164.43,2019-02-15 0:00:00,13:30:00,Credit card,156.6,4.761904716,7.83,9.5,Afternoon,Friday,February,Bad
153-58-4872,Kharadi,Pune,Prime,Female,Nescafe Coffee,Food and beverages,74.89,4,14.978,314.538,2019-03-01 0:00:00,15:32:00,Ewallet,299.56,4.761904716,14.978,4.2,Afternoon,Friday,March,Bad
154-74-7179,Kharadi,Pune,Elite,Male,Cricket Bat,Sports and travel,54.45,1,2.7225,57.1725,2019-02-26 0:00:00,19:24:00,Ewallet,54.45,4.761904716,2.7225,7.9,Evening,Tuesday,February,Bad
154-87-7367,Rohini,Delhi,Prime,Male,Coffee Mug,Home and lifestyle,65.26,8,26.104,548.184,2019-03-15 0:00:00,14:04:00,Ewallet,522.08,4.761904716,26.104,6.3,Afternoon,Friday,March,Good
155-45-3814,Powai,Mumbai,Prime,Female,Bluetooth Speaker,Electronic accessories,88.55,8,35.42,743.82,2019-03-19 0:00:00,15:29:00,Ewallet,708.4,4.761904716,35.42,4.7,Afternoon,Tuesday,March,Good
156-20-0370,Connaught Place,Delhi,Basic,Female,Mechanical Keyboard,Electronic accessories,25.45,1,1.2725,26.7225,2019-03-10 0:00:00,18:10:00,Credit card,25.45,4.761904716,1.2725,5.1,Evening,Sunday,March,Bad
156-95-3964,Indiranagar,Bangalore,Elite,Female,Oreo Biscuits,Food and beverages,55.39,4,11.078,232.638,2019-03-25 0:00:00,15:19:00,Ewallet,221.56,4.761904716,11.078,8,Afternoon,Monday,March,Bad
157-13-5295,Powai,Mumbai,Basic,Male,Shampoo,Health and beauty,51.94,10,25.97,545.37,2019-03-09 0:00:00,18:24:00,Ewallet,519.4,4.761904716,25.97,6.5,Evening,Saturday,March,Good
160-22-2687,Koramangala,Bangalore,Basic,Female,Face Wash,Health and beauty,95.95,5,23.9875,503.7375,2019-01-23 0:00:00,14:21:00,Ewallet,479.75,4.761904716,23.9875,8.8,Afternoon,Wednesday,January,Good
162-48-8011,Connaught Place,Delhi,Prime,Female,Oreo Biscuits,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10 0:00:00,15:10:00,Cash,222.95,4.761904716,11.1475,8.5,Afternoon,Sunday,February,Bad
162-65-8559,Saket,Delhi,Prime,Male,Tropicana Juice,Food and beverages,68.98,1,3.449,72.429,2019-01-21 0:00:00,20:13:00,Cash,68.98,4.761904716,3.449,4.8,Evening,Monday,January,Bad
163-56-7055,Whitefield,Bangalore,Elite,Male,Baseball Cap,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26 0:00:00,19:20:00,Cash,48.71,4.761904716,2.4355,4.1,Evening,Tuesday,March,Bad
166-19-2553,Indiranagar,Bangalore,Basic,Male,Travel Backpack,Sports and travel,89.06,6,26.718,561.078,2019-01-18 0:00:00,17:26:00,Cash,534.36,4.761904716,26.718,9.9,Evening,Friday,January,Good
169-52-4504,Bandra,Mumbai,Elite,Female,Bluetooth Speaker,Electronic accessories,15.69,3,2.3535,49.4235,2019-03-14 0:00:00,14:13:00,Credit card,47.07,4.761904716,2.3535,5.8,Afternoon,Thursday,March,Bad
172-42-8274,Indiranagar,Bangalore,Basic,Female,Bluetooth Speaker,Electronic accessories,38.27,2,3.827,80.367,2019-03-02 0:00:00,18:18:00,Credit card,76.54,4.761904716,3.827,5.8,Evening,Saturday,March,Bad
173-50-1108,Banjara Hills,Hyderabad,Elite,Female,Cricket Bat,Sports and travel,20.18,4,4.036,84.756,2019-02-13 0:00:00,12:14:00,Credit card,80.72,4.761904716,4.036,5,Afternoon,Wednesday,February,Bad
173-57-2300,Hitech City,Hyderabad,Basic,Male,Travel Backpack,Sports and travel,72.88,2,7.288,153.048,2019-03-13 0:00:00,12:51:00,Cash,145.76,4.761904716,7.288,6.1,Afternoon,Wednesday,March,Bad
173-82-9529,Hinjawadi,Pune,Basic,Female,Wrist Watch,Fashion accessories,37.95,10,18.975,398.475,2019-01-26 0:00:00,14:51:00,Cash,379.5,4.761904716,18.975,9.7,Afternoon,Saturday,January,Good
174-36-3675,Baner,Pune,Basic,Male,Tropicana Juice,Food and beverages,99.37,2,9.937,208.677,2019-02-14 0:00:00,17:29:00,Cash,198.74,4.761904716,9.937,5.2,Evening,Thursday,February,Bad
174-64-0215,Andheri,Mumbai,Basic,Male,Gym Bag,Sports and travel,69.74,10,34.87,732.27,2019-03-05 0:00:00,17:49:00,Credit card,697.4,4.761904716,34.87,8.9,Evening,Tuesday,March,Good
174-75-0888,Banjara Hills,Hyderabad,Basic,Male,Power Bank,Electronic accessories,21.58,9,9.711,203.931,2019-03-14 0:00:00,12:32:00,Cash,194.22,4.761904716,9.711,7.3,Afternoon,Thursday,March,Bad
175-54-2529,Rohini,Delhi,Elite,Male,Lay's Chips,Food and beverages,22.17,8,8.868,186.228,2019-03-03 0:00:00,17:01:00,Credit card,177.36,4.761904716,8.868,9.6,Evening,Sunday,March,Bad
176-64-7711,Koramangala,Bangalore,Basic,Male,Nescafe Coffee,Food and beverages,32.32,3,4.848,101.808,2019-03-27 0:00:00,19:11:00,Credit card,96.96,4.761904716,4.848,4.3,Evening,Wednesday,March,Bad
176-78-1170,Kharadi,Pune,Prime,Male,Body Lotion,Health and beauty,33.81,3,5.0715,106.5015,2019-01-26 0:00:00,15:11:00,Ewallet,101.43,4.761904716,5.0715,7.3,Afternoon,Saturday,January,Bad
181-82-6255,Saket,Delhi,Prime,Female,Table Lamp,Home and lifestyle,16.37,6,4.911,103.131,2019-02-08 0:00:00,10:58:00,Cash,98.22,4.761904716,4.911,7,Morning,Friday,February,Bad
181-94-6432,Andheri,Mumbai,Prime,Male,Baseball Cap,Fashion accessories,69.33,2,6.933,145.593,2019-02-05 0:00:00,19:05:00,Ewallet,138.66,4.761904716,6.933,9.7,Evening,Tuesday,February,Bad
182-52-7000,Baner,Pune,Elite,Female,Travel Backpack,Sports and travel,27.04,4,5.408,113.568,2019-01-01 0:00:00,20:26:00,Ewallet,108.16,4.761904716,5.408,6.9,Evening,Tuesday,January,Bad
182-69-8360,Hinjawadi,Pune,Prime,Female,Bluetooth Speaker,Electronic accessories,23.65,4,4.73,99.33,2019-01-30 0:00:00,13:32:00,Credit card,94.6,4.761904716,4.73,4,Afternoon,Wednesday,January,Bad
182-88-2763,Saket,Delhi,Prime,Male,Coca-Cola,Food and beverages,79.91,3,11.9865,251.7165,2019-03-20 0:00:00,19:28:00,Credit card,239.73,4.761904716,11.9865,5,Evening,Wednesday,March,Bad
183-21-3799,Andheri,Mumbai,Elite,Female,Wireless Mouse,Electronic accessories,77.63,9,34.9335,733.6035,2019-02-19 0:00:00,15:14:00,Ewallet,698.67,4.761904716,34.9335,7.2,Afternoon,Tuesday,February,Good
183-56-6882,Bandra,Mumbai,Prime,Female,Oreo Biscuits,Food and beverages,99.42,4,19.884,417.564,2019-02-06 0:00:00,10:42:00,Ewallet,397.68,4.761904716,19.884,7.5,Morning,Wednesday,February,Good
186-09-3669,Baner,Pune,Elite,Female,Sunscreen,Health and beauty,81.51,1,4.0755,85.5855,2019-01-22 0:00:00,10:57:00,Ewallet,81.51,4.761904716,4.0755,9.2,Morning,Tuesday,January,Bad
186-43-8965,Banjara Hills,Hyderabad,Elite,Female,Table Lamp,Home and lifestyle,47.68,2,4.768,100.128,2019-02-24 0:00:00,10:10:00,Credit card,95.36,4.761904716,4.768,4.1,Morning,Sunday,February,Bad
186-71-5196,Connaught Place,Delhi,Basic,Female,Coca-Cola,Food and beverages,79.54,2,7.954,167.034,2019-03-27 0:00:00,16:30:00,Ewallet,159.08,4.761904716,7.954,6.2,Evening,Wednesday,March,Bad
186-79-9562,Baner,Pune,Basic,Male,Sunscreen,Health and beauty,71.77,7,25.1195,527.5095,2019-03-29 0:00:00,14:06:00,Cash,502.39,4.761904716,25.1195,8.9,Afternoon,Friday,March,Good
187-83-5490,Kharadi,Pune,Basic,Male,Mechanical Keyboard,Electronic accessories,20.77,4,4.154,87.234,2019-01-31 0:00:00,13:47:00,Cash,83.08,4.761904716,4.154,4.7,Afternoon,Thursday,January,Bad
188-55-0967,Andheri,Mumbai,Basic,Male,Shampoo,Health and beauty,66.47,10,33.235,697.935,2019-01-15 0:00:00,15:01:00,Credit card,664.7,4.761904716,33.235,5,Afternoon,Tuesday,January,Good
189-08-9157,Powai,Mumbai,Elite,Female,Handbag,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08 0:00:00,16:17:00,Credit card,285.57,4.761904716,14.2785,5.9,Evening,Tuesday,January,Bad
189-17-4241,Powai,Mumbai,Basic,Female,Leather Wallet,Fashion accessories,87.67,2,8.767,184.107,2019-03-10 0:00:00,12:17:00,Credit card,175.34,4.761904716,8.767,7.7,Afternoon,Sunday,March,Bad
189-40-5216,Banjara Hills,Hyderabad,Elite,Male,USB Flash Drive,Electronic accessories,96.37,7,33.7295,708.3195,2019-01-09 0:00:00,11:40:00,Cash,674.59,4.761904716,33.7295,6,Morning,Wednesday,January,Good
189-52-0236,Saket,Delhi,Prime,Male,Mechanical Keyboard,Electronic accessories,99.55,7,34.8425,731.6925,2019-03-14 0:00:00,12:07:00,Cash,696.85,4.761904716,34.8425,7.6,Afternoon,Thursday,March,Good
189-55-2313,Whitefield,Bangalore,Prime,Female,Baseball Cap,Fashion accessories,62.18,10,31.09,652.89,2019-01-31 0:00:00,10:33:00,Ewallet,621.8,4.761904716,31.09,6,Morning,Thursday,January,Good
189-98-2939,Saket,Delhi,Elite,Male,Wrist Watch,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01 0:00:00,13:22:00,Cash,706.95,4.761904716,35.3475,7.2,Afternoon,Friday,March,Good
190-14-3147,Banjara Hills,Hyderabad,Elite,Female,Body Lotion,Health and beauty,17.97,4,3.594,75.474,2019-02-23 0:00:00,20:43:00,Ewallet,71.88,4.761904716,3.594,6.4,Evening,Saturday,February,Bad
190-59-3964,Rohini,Delhi,Prime,Male,Coca-Cola,Food and beverages,47.16,5,11.79,247.59,2019-02-03 0:00:00,14:35:00,Credit card,235.8,4.761904716,11.79,6,Afternoon,Sunday,February,Bad
191-10-6171,Bandra,Mumbai,Basic,Female,Leather Wallet,Fashion accessories,39.62,7,13.867,291.207,2019-01-25 0:00:00,13:18:00,Cash,277.34,4.761904716,13.867,7.5,Afternoon,Friday,January,Bad
191-29-0321,Rohini,Delhi,Elite,Female,Handbag,Fashion accessories,19.77,10,9.885,207.585,2019-02-27 0:00:00,18:57:00,Credit card,197.7,4.761904716,9.885,5,Evening,Wednesday,February,Bad
192-98-7397,Baner,Pune,Basic,Male,Sunglasses,Fashion accessories,12.78,1,0.639,13.419,2019-01-08 0:00:00,14:11:00,Ewallet,12.78,4.761904716,0.639,9.5,Afternoon,Tuesday,January,Bad
195-06-0432,Kharadi,Pune,Prime,Male,Table Lamp,Home and lifestyle,81.01,3,12.1515,255.1815,2019-01-13 0:00:00,12:55:00,Credit card,243.03,4.761904716,12.1515,9.3,Afternoon,Sunday,January,Bad
196-01-2849,Rohini,Delhi,Prime,Female,Leather Wallet,Fashion accessories,73.38,7,25.683,539.343,2019-02-10 0:00:00,13:56:00,Cash,513.66,4.761904716,25.683,9.5,Afternoon,Sunday,February,Good
197-77-7132,Koramangala,Bangalore,Basic,Male,USB Flash Drive,Electronic accessories,91.56,8,36.624,769.104,2019-01-12 0:00:00,18:22:00,Ewallet,732.48,4.761904716,36.624,6,Evening,Saturday,January,Good
198-66-9832,Whitefield,Bangalore,Elite,Female,Handbag,Fashion accessories,72.04,2,7.204,151.284,2019-02-04 0:00:00,19:38:00,Cash,144.08,4.761904716,7.204,9.5,Evening,Monday,February,Bad
198-84-7132,Hitech City,Hyderabad,Basic,Male,Wrist Watch,Fashion accessories,40.61,9,18.2745,383.7645,2019-01-02 0:00:00,13:40:00,Cash,365.49,4.761904716,18.2745,7,Afternoon,Wednesday,January,Good
199-75-8169,Powai,Mumbai,Basic,Male,Gym Bag,Sports and travel,15.81,10,7.905,166.005,2019-03-06 0:00:00,12:27:00,Credit card,158.1,4.761904716,7.905,8.6,Afternoon,Wednesday,March,Bad
200-16-5952,Indiranagar,Bangalore,Elite,Male,Coca-Cola,Food and beverages,65.65,2,6.565,137.865,2019-01-17 0:00:00,16:46:00,Cash,131.3,4.761904716,6.565,6,Evening,Thursday,January,Bad
200-40-6154,Bandra,Mumbai,Prime,Male,Wall Clock,Home and lifestyle,65.91,6,19.773,415.233,2019-02-09 0:00:00,11:45:00,Cash,395.46,4.761904716,19.773,5.7,Morning,Saturday,February,Good
201-63-8275,Banjara Hills,Hyderabad,Elite,Female,Gym Bag,Sports and travel,67.99,7,23.7965,499.7265,2019-02-17 0:00:00,16:50:00,Ewallet,475.93,4.761904716,23.7965,5.7,Evening,Sunday,February,Good
201-86-2184,Powai,Mumbai,Basic,Female,Wireless Mouse,Electronic accessories,26.26,7,9.191,193.011,2019-02-02 0:00:00,19:40:00,Cash,183.82,4.761904716,9.191,9.9,Evening,Saturday,February,Bad
207-73-1363,Hitech City,Hyderabad,Prime,Male,Lip Balm,Health and beauty,69.51,2,6.951,145.971,2019-03-01 0:00:00,12:15:00,Ewallet,139.02,4.761904716,6.951,8.1,Afternoon,Friday,March,Bad
209-61-0206,Kharadi,Pune,Elite,Female,Table Lamp,Home and lifestyle,42.91,5,10.7275,225.2775,2019-01-05 0:00:00,17:29:00,Ewallet,214.55,4.761904716,10.7275,6.1,Evening,Saturday,January,Bad
210-30-7976,Banjara Hills,Hyderabad,Basic,Female,Baseball Cap,Fashion accessories,22.32,4,4.464,93.744,2019-03-14 0:00:00,11:16:00,Ewallet,89.28,4.761904716,4.464,4.1,Morning,Thursday,March,Bad
